docId,filename,0 citr ca contact,1 7 30pm vancouver,2 don people band,3 shit hip don,4 604 talk eclectic,5 music vancouver album,6 music band songs,7 00 00pm cd,8 1 show rock,9 vancouver 10 citr,10 film october september,11 7 vancouver 00,12 1 604 ihe,13 00 pm citr,14 00pm cd www
64,doc240-2004-09-01.txt,0.013571412716153064,5.660852032309371E-6,0.0813523935774184,0.012151197130537377,3.337262803937023E-4,0.18493302939499548,0.24312146319894448,0.021500004228514915,0.17354222212081286,1.1487543774377253E-4,0.07334746068066784,5.233479898268523E-6,5.850463897291623E-6,1.250107377415038E-4,0.19589045970024874
65,doc394-2004-10-01.txt,0.006366179042194983,8.019979494709834E-6,0.0672977948992016,0.01388366384934239,7.94785511734147E-6,0.16996113164180268,0.239848122813111,0.034178862527238826,0.16955093052484735,7.796804608629692E-6,0.06486661016259948,0.003958698402811115,8.288611011738019E-6,0.010016579915646893,0.22003937297097126
66,doc294-2009-04-01.txt,0.011471627526216404,9.964718143937798E-6,0.041164592699246716,0.002233225386154586,0.2668511739399999,0.19413588389161662,0.22898747222847915,1.4758521686057942E-5,0.17591380499826204,9.687426308209173E-6,0.059610548056035495,0.001934474317352141,1.029848924067564E-5,0.005129472477571199,0.01252301532368688
67,doc132-2017-12-01.txt,0.5312724739977166,6.7221333275539145E-6,0.028938255631066494,1.293479282511911E-5,5.911077368581325E-4,0.1414178811128214,0.13044621608601062,2.6970980445482977E-4,0.1155532503322688,0.01695547070572897,0.0344983000323092,6.214638616668169E-6,6.94729311438849E-6,1.857051282732129E-5,5.945190053906396E-6
68,doc290-2006-03-01.txt,0.01148970496172646,0.002944577046248091,0.04399726300585491,0.0014409270106229572,0.029985471904575085,0.1997582684429606,0.18312852687709003,0.0014368467590739947,0.21254095250257254,0.004723332507008995,0.07358402591937765,5.422161170316813E-4,9.5161768729939E-6,0.003316608910046905,0.2311017618589371
69,doc185-1993-07-01.txt,0.0025660951426147863,0.01626768624792898,0.14496475551056995,0.010373715891481422,0.007420466742357118,0.08776583071922166,0.05953487970970632,0.008853828153583702,0.11368743471124385,4.364386916759372E-6,0.053527433950673727,0.25258244092328086,0.19256089139714186,0.049886206074784195,3.9704384948342E-6
70,doc217-2001-05-01.txt,1.2335376564415703E-5,2.2582194222938581E-4,0.08546962508579407,1.4493383362808687E-5,7.464386326060183E-6,0.14281406360357576,0.2732091353077003,0.26450565284372574,0.1515242241791369,8.008579718724607E-5,0.07379986733964472,1.5249002349303862E-4,5.171273246770873E-4,9.667307333577423E-4,0.0067008826732247485
71,doc322-1998-01-01.txt,1.122386779496433E-5,1.392669498058048E-4,0.10272812872999161,0.0018669767935477054,6.791789845793607E-6,0.1366323420528021,0.2534240628755996,0.09203755138699225,0.11383771450976551,6.662710578982088E-6,0.11832778082089392,6.336016693426382E-6,0.18075154668694562,2.1755350321063917E-4,6.061305532088794E-6
72,doc193-1999-09-01.txt,1.4277024210355012E-4,4.662816979746601E-6,0.06917172384954093,0.0017206687533051052,0.002076674561805543,0.11795939524022128,0.17760054002608955,0.2527974547037032,0.08209058993306069,9.462235342141029E-5,0.07559600103045211,0.0017610519543167912,0.20378679376093492,0.014787525078295375,4.0952569576981225E-4
73,doc152-2003-06-01.txt,1.942446056504597E-4,6.76289837534602E-5,0.11733791610692931,0.003628024173050935,6.286896692565261E-6,0.133829469065464,0.28716739570461797,0.11473498210806841,0.1677633273626128,6.167413016830111E-6,0.06185168422716298,1.284350759017579E-4,6.556440748643923E-6,1.7525742043630635E-5,0.11326035609428628
